NAME,PRICE,CUISINES_CATEGORY,CITY,REGION,RATING,VOTES,PEAK_TIME,MEN_EMPLOYEE,WOMEN_EMPLOYEE,DELIVERED_FOOD_APPROX,DELIVERY_TIME
Faasos - Wraps & Rolls,200,['Combo' 'Snacks' 'Beverages' 'Desserts' 'Indian'],Ahmedabad,Vastrapur,4.2,500,20:40:00,7,4,29089,44
Burger King,350,['American' 'Fast Food'],Ahmedabad,Ellisbridge,4.2,1000,15:32:05,8,1,20070,33
Mahalaxmi Pav Bhaji,200,['North Indian'],Ahmedabad,Ellisbridge,4.3,500,16:39:14,2,4,7758,28
HIIT Meals,150,['Fast Food' 'Combo' 'Snacks' 'North Indian' 'Street Food' 'Beverages' 'Desserts'],Ahmedabad,Vishala,--,,10:26:28,7,2,6589,51
Jay Jalaram Parotha House,250,['North Indian'],Ahmedabad,Ellisbridge,3.9,100,11:13:00,9,2,24550,29
Jalaram Parotha House,450,['North Indian' 'Gujarati'],Ahmedabad,Paldi,3.9,20,20:15:27,4,5,12486,28
Cake Dengo Cake Shop,500,['Desserts'],Ahmedabad,Drive In Road,4.1,100,15:59:59,7,1,9447,50
The Westend Hotel (Mayflower),450,['Indian' 'Chinese'],Ahmedabad,Ellisbridge,4.4,100,13:49:21,1,4,25446,27
Modi Sandwich And Pizza-Paldi,250,['Fast Food' 'Beverages'],Ahmedabad,Paldi,3.9,1000,12:52:15,10,0,14872,33
Sugarless Life,250,['Desserts' 'Sweets' 'Combo' 'Italian' 'Pizzas' 'Snacks'],Ahmedabad,Navrangpura,4.2,100,21:08:07,1,5,20246,36
Pickmeal,500,['Indian'],Ahmedabad,Paldi,4.2,100,15:54:49,7,4,4417,28
Decent Restaurant,650,['North Indian' 'Chinese'],Ahmedabad,Paldi,--,,18:03:52,10,2,23168,36
Hocco Eatery,400,['North Indian' 'Pizzas'],Ahmedabad,Gulbai Tekra,4.4,50,19:42:25,8,1,4872,29
KFC,400,['American' 'Fast Food' 'Snacks'],Ahmedabad,Paldi & Ambawadi,4.2,500,22:16:07,2,5,15620,37
Vadilal Scoop shop,300,['Ice Cream' 'Desserts'],Ahmedabad,Paldi,4.4,20,09:15:05,8,4,15644,24
Om Food Center - Vastrapur Lake,200,['Indian' 'North Indian' 'Punjabi' 'Gujarati' 'Thalis' 'Combo'],Ahmedabad,Vastrapur,4.1,100,21:08:07,5,4,9450,44
Alpine Restaurant & Banquet,800,['Indian' 'Chinese'],Ahmedabad,Paldi,--,,18:09:50,3,1,27033,32
Udupi Shree Darshini Restaurant,300,['South Indian'],Ahmedabad,Ellisbridge,4.4,500,18:57:20,6,0,29758,28
Sweet Truth - Cake and Desserts,450,['Ice Cream' 'Bakery' 'Desserts' 'Beverages'],Ahmedabad,Vastrapur,4.2,100,19:36:54,10,3,23589,44
Radhanand Restaurant,200,['Chinese' 'Punjabi' 'Rajasthani'],Ahmedabad,Paldi & Ambawadi,--,,09:27:33,6,1,25839,34
M.M.Parotha House,200,['Indian' 'Chinese' 'Fast Food'],Ahmedabad,Ellisbridge,3.7,50,17:39:17,10,4,25637,27
Ristretto Behind The Rods,700,['Continental' 'Pizzas' 'Chinese' 'North Indian' 'Desserts' 'Punjabi' 'Indian' 'Healthy Food' 'Pastas' 'Beverages'],Ahmedabad,Navrangpura,4,50,19:14:05,6,3,20883,40
